읍면동,평당가격,충전소수
서귀포시 강정동,535.9319413322204,5.0
서귀포시 남원읍,294.3129973429739,421.0
서귀포시 대정읍,298.62084870177625,361.0
서귀포시 동홍동,347.68128137511565,40.0
서귀포시 법환동,341.4414114122735,5.0
서귀포시 보목동,144.1088977733677,1.0
서귀포시 서귀동,309.90869890256664,14.0
서귀포시 서호동,501.53742115947443,8.0
서귀포시 서홍동,295.11114102877394,9.0
서귀포시 성산읍,247.29519320088593,378.0
서귀포시 신효동,397.14004301634094,2.0
서귀포시 안덕면,324.48839674370606,498.0
서귀포시 중문동,369.4920409750785,3.0
서귀포시 토평동,208.53833475668415,6.0
서귀포시 표선면,302.1134891595608,271.0
서귀포시 하원동,203.86731663703804,2.0
서귀포시 호근동,326.32833222746285,1.0
제주시 건입동,262.6508256330495,7.0
제주시 구좌읍,260.94461744665284,344.0
제주시 내도동,328.41754056831337,1.0
제주시 노형동,490.32740575814455,54.0
제주시 도남동,345.50577493081715,16.0
제주시 도두이동,282.05295432481836,20.0
제주시 도두일동,481.2135841457378,6.0
제주시 도련이동,504.24360493707695,5.0
제주시 도련일동,402.3411868609257,6.0
제주시 도평동,382.7360783411431,4.0
제주시 봉개동,343.47714869581677,12.0
제주시 삼도이동,334.07552647145855,9.0
제주시 삼도일동,286.1726357740304,2.0
제주시 삼양삼동,411.28729004763096,0.0
제주시 삼양이동,380.4670471798455,5.0
제주시 삼양일동,283.0964067798177,3.0
제주시 아라이동,421.8819200696089,19.0
제주시 아라일동,455.00042254263445,27.0
제주시 애월읍,354.4400771000224,885.0
제주시 연동,392.59677810994725,64.0
제주시 영평동,397.0460632954061,15.0
제주시 오등동,350.47406832966607,3.0
제주시 오라삼동,436.8908642835423,4.0
제주시 오라이동,439.5350653354948,6.0
제주시 오라일동,391.27680133391925,0.0
제주시 외도이동,268.5529168460574,5.0
제주시 외도일동,357.80110946853836,3.0
제주시 용담삼동,281.4197637241308,2.0
제주시 용담이동,240.1244935373173,2.0
제주시 용담일동,261.5795396963274,0.0
제주시 우도면,390.3652244623802,29.0
제주시 월평동,496.75609026136055,1.0
제주시 이도이동,485.060222441336,9.0
제주시 이도일동,324.6452684127078,8.0
제주시 이호이동,295.9619853249809,0.0
제주시 이호일동,371.69436983735403,1.0
제주시 일도이동,327.2537422137212,12.0
제주시 일도일동,235.70495074569513,0.0
제주시 조천읍,327.1433753875178,544.0
제주시 추자면,76.51678036950517,4.0
제주시 한경면,359.4888656828327,243.0
제주시 한림읍,286.8263719503067,510.0
제주시 해안동,413.87507376447473,5.0
제주시 화북이동,431.3339284260343,5.0
제주시 화북일동,322.62007906772584,10.0
제주시 회천동,324.01560102845207,0.0
